Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolecularFormula,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_100,Kelly_101,Kelly_102,Kelly_103,Kelly_134,Kelly_135,Kelly_136,Kelly_137,Kelly_138,Kelly_139,Kelly_21,Kelly_22,Kelly_23,Kelly_24,Kelly_25,Kelly_26,Kelly_27,Kelly_28,Kelly_29,Kelly_30,Kelly_68,Kelly_69,Kelly_70,Kelly_71,Kelly_72,Kelly_73,Kelly_98,Kelly_99
285.098021328767,13.0,18.0,7.0,0.0,0,0.0,0.0,0,CHO,Lignin,286.105297795647,-0.156806418969118,1,C13H18O7,0.5384615384615384,1.3846153846153846,-0.3076923076923075,69.06923076923076,5.0,-2.0,-0.3333333333333333,0.15789473684210525,-2.0,1937575.9,2548363.3,2764821.3,3820825.0,1505474.8,1949280.9,3193477.5,4090192.0,3717062.8,3880965.8,0.0,0.0,0.0,1488925.0,0.0,1036022.1,1058880.4,0.0,1182932.8,1141439.8,5393828.0,2614604.3,3671563.3,10586810.0,3139965.3,5001607.0,2566740.5,2661363.8
285.1092169375,12.0,18.0,6.0,2.0,0,0.0,0.0,0,CHON,Protein,286.11649340438,-0.0247576779065801,1,C12H18O6N2,0.5,1.5,0.0,60.3,5.0,-1.0,-0.75,0.0,-3.0,997160.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207495.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.1261731,14.0,23.0,4.0,0.0,0,0.0,1.0,0,CHOP,Lipid,286.13344956688,-0.188129629935853,1,C14H23O4P,0.2857142857142857,1.6428571428571428,-1.4285714285714288,101.01428571428572,4.0,0.0,-0.1111111111111111,0.09090909090909091,-1.0,0.0,1282701.0,0.0,0.0,0.0,1293411.1,1185416.0,0.0,0.0,1137287.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246975.5,0.0,1234390.8,0.0
285.134408774835,14.0,22.0,6.0,0.0,0,0.0,0.0,0,CHO,Protein,286.141685241715,-0.163565523492238,1,C14H22O6,0.42857142857142855,1.5714285714285714,-0.7142857142857144,80.65714285714286,4.0,-2.0,-0.25,0.09090909090909091,-2.0,1459883.3,2277773.5,1866008.3,1216410.5,1890245.4,1234019.9,1699592.6,2112082.5,1897929.1,2043400.3,2013884.5,1749124.8,2226491.5,1744415.1,1860204.9,1856760.0,1621059.1,1826742.5,1924567.4,2147009.3,5080487.0,2708046.0,3531279.0,5113533.5,3306880.0,3871113.0,1711191.4,2301173.8
285.170779365592,15.0,26.0,5.0,0.0,0,0.0,0.0,0,CHO,Protein,286.178055832472,-0.111424936223269,1,C15H26O5,0.3333333333333333,1.7333333333333334,-1.0666666666666664,90.69999999999999,3.0,-2.0,-0.2,0.04,-2.0,1321198.6,1199247.8,0.0,0.0,0.0,0.0,1034891.9,0.0,0.0,0.0,1195966.0,0.0,0.0,0.0,0.0,0.0,0.0,1074425.1,0.0,1013954.7,2019498.6,1487183.9,1949970.6,1429441.0,1087618.9,1716235.1,0.0,1531255.9
285.207142884211,16.0,30.0,4.0,0.0,0,0.0,0.0,0,CHO,Lipid,286.214419351091,-0.034588371109965,1,C16H30O4,0.25,1.875,-1.375,99.4875,2.0,-2.0,-0.16666666666666666,0.0,-2.0,1768882.0,1475090.0,2010398.3,1303709.8,1440842.9,1906537.8,1385743.0,0.0,1362381.9,1445901.1,0.0,1406088.8,2332993.8,2810659.5,0.0,1677563.8,0.0,2193979.8,1247196.6,1451716.3,3884462.0,2791249.8,3980822.3,2169796.5,2003077.8,3212429.3,2641245.0,1732090.0
286.05689252,11.0,13.0,8.0,1.0,0,0.0,0.0,0,CHON,Tannin,287.06416898688,-0.183191027043079,1,C11H13O8N,0.7272727272727273,1.1818181818181819,0.5454545454545454,44.75454545454545,6.0,-2.0,-1.5,0.16666666666666666,-3.0,1754112.4,1357126.3,2337635.0,0.0,1381641.8,1620013.9,2214104.5,1965203.5,1761029.4,1339206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910653.6,1457915.8,2606699.5,1567635.5,1419462.9,2002877.4,1348638.0,2229546.0
287.004531369565,10.0,8.0,10.0,0.0,0,0.0,0.0,0,CHO,Tannin,288.011807836445,-0.213042116824196,1,C10H8O10,1.0,0.8,1.2000000000000002,26.099999999999994,7.0,-3.0,0.0,0.4,-3.0,0.0,0.0,1067951.3,1167085.5,1321167.3,1304185.0,0.0,1236822.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993494.5,0.0,0.0,1296235.8,0.0,0.0,1233766.0,1070303.5
287.019717642857,14.0,8.0,7.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,288.026994109737,0.0295172435021593,1,C14H8O7,0.5,0.5714285714285714,0.4285714285714284,48.08571428571429,11.0,4.0,0.5714285714285714,0.7142857142857143,4.0,1785304.5,1955073.4,2315440.5,1891950.1,1722192.4,1750650.1,1409706.8,1597911.3,1682755.8,1795974.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719127.9,1573931.3,1375947.3,1588589.1,1550991.8,2191860.0,2077159.1,1669088.4
287.040894569231,11.0,12.0,9.0,0.0,0,0.0,0.0,0,CHO,Tannin,288.048171036111,-0.135574583364548,1,C11H12O9,0.8181818181818182,1.0909090909090908,0.5454545454545454,44.75454545454545,6.0,-3.0,-1.5,0.23076923076923078,-3.0,10880346.0,11264259.0,9398194.0,11262319.0,9939794.0,10510076.0,8809517.0,7259097.0,8790085.0,6466184.0,0.0,1326062.5,0.0,1363470.1,1240274.3,0.0,1558734.1,1624639.4,0.0,1180560.1,10315354.0,9858988.0,6757581.5,10128239.0,10052113.0,7844853.0,13135849.0,11435618.0
