Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolecularFormula,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_104,Kelly_105,Kelly_106,Kelly_107,Kelly_108,Kelly_109,Kelly_140,Kelly_141,Kelly_142,Kelly_143,Kelly_144,Kelly_145,Kelly_31,Kelly_32,Kelly_33,Kelly_34,Kelly_35,Kelly_36,Kelly_37,Kelly_38,Kelly_39,Kelly_40,Kelly_41,Kelly_74,Kelly_75,Kelly_76,Kelly_77,Kelly_78,Kelly_79
689.178244494117,25.0,38.0,22.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,690.185520960997,-0.0696262030879624,-1,C25H38O22,0.88,1.52,0.2400000000000002,53.459999999999994,7.0,-15.0,-5.0,0.0,-15.0,9703131.0,9082054.0,9037754.0,9050174.0,5887700.5,7893711.5,8594184.0,9769930.0,8952105.0,5038218.0,8039346.0,6268285.0,1566416.3,2126260.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5140612.5,6827490.5,2960934.8,8368096.0,7006607.5,4994134.0
689.187736727273,36.0,34.0,14.0,0.0,0,0.0,0.0,0,CHO,Lignin,690.195013194153,-0.228041857218186,-1,C36H34O14,0.3888888888888889,0.9444444444444444,-0.16666666666666696,65.05000000000001,20.0,6.0,0.2727272727272727,0.4482758620689655,6.0,0.0,0.0,0.0,0.0,1443030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1671138.8,0.0,0.0,0.0,0.0
689.193627449153,29.0,38.0,19.0,0.0,0,0.0,0.0,0,CHO,Tannin,690.200903916033,-0.253370187910781,-1,C29H38O19,0.6551724137931034,1.3103448275862069,0.0,60.3,11.0,-8.0,-0.8,0.07692307692307693,-8.0,4523741.5,4545736.0,4560827.5,5248063.0,3384023.0,4133586.0,4087561.3,4157387.5,4160811.5,3841164.0,3743668.0,4127102.5,2077904.8,2184886.8,1848717.0,0.0,1497101.8,1546631.0,2191741.5,1989414.4,2274294.5,1812730.5,0.0,3904647.0,4239843.0,2580520.0,3206113.5,3829137.0,2528855.0
689.208794887324,33.0,38.0,16.0,0.0,0,0.0,0.0,0,CHO,Lignin,690.216071354204,-0.124860616605104,-1,C33H38O16,0.48484848484848486,1.1515151515151516,-0.18181818181818166,65.48181818181817,15.0,-1.0,-0.058823529411764705,0.28,-1.0,2890464.0,3086538.5,2497468.8,3079231.8,2532057.3,3472084.3,2423562.5,2536396.5,3423534.0,6378637.5,2177973.8,4922752.5,1819345.3,1748152.9,0.0,1409146.6,0.0,2018696.0,1533823.3,0.0,2047992.0,1703676.1,0.0,3723401.5,3101155.8,3325481.3,4323299.0,3662226.3,4446295.5
689.214682640777,26.0,42.0,21.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,690.221959107657,-0.145888370306442,-1,C26H42O21,0.8076923076923077,1.6153846153846154,0.0,60.3,6.0,-15.0,-3.0,0.0,-15.0,3476192.8,4467915.5,4131773.3,3283008.0,3628762.0,4332245.0,3593995.3,3688397.0,2448687.0,2231438.3,3794870.5,2364801.0,0.0,1804473.8,2008975.5,0.0,0.0,0.0,1427327.9,1436969.6,0.0,0.0,0.0,2205834.3,2616292.0,1997353.9,3309539.5,3306898.8,2223192.0
689.229988457944,30.0,42.0,18.0,0.0,0,0.0,0.0,0,CHO,Lignin,690.237264924824,-0.217865408878587,-1,C30H42O18,0.6,1.4,-0.20000000000000018,66.0,10.0,-8.0,-0.6666666666666666,0.047619047619047616,-8.0,1714659.1,1723085.6,0.0,0.0,1634012.3,1498839.3,0.0,0.0,1824561.5,2369168.3,1510328.4,2041730.6,1405393.9,0.0,0.0,0.0,0.0,1422985.5,0.0,0.0,0.0,0.0,1391994.1,0.0,0.0,0.0,1702885.0,2221460.0,2024536.6
689.245196133858,34.0,42.0,15.0,0.0,0,0.0,0.0,0,CHO,Lignin,690.252472600738,-0.147657621640426,-1,C34H42O15,0.4411764705882353,1.2352941176470589,-0.35294117647058787,70.35882352941175,14.0,-1.0,-0.05263157894736842,0.24528301886792453,-1.0,1828069.4,2114767.8,1909695.9,2017345.5,1611486.5,0.0,1529101.9,2102223.3,2654516.0,3951761.8,1687994.3,3170180.5,1684690.4,1387710.1,0.0,0.0,0.0,0.0,0.0,0.0,1930747.3,0.0,0.0,2872974.8,2560485.5,3416620.5,3016678.5,3226005.3,4055129.3
689.25100715,27.0,46.0,20.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,690.25828361688,-0.0575122106445851,-1,C27H46O20,0.7407407407407407,1.7037037037037037,-0.22222222222222232,66.63333333333333,5.0,-15.0,-2.142857142857143,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500818.5,0.0,0.0,0.0,1513662.9,0.0,0.0,0.0,0.0,0.0,1553455.8,1585147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689.26638539604,31.0,46.0,17.0,0.0,0,0.0,0.0,0,CHO,Lignin,690.27366186292,-0.234415172786624,-1,C31H46O17,0.5483870967741935,1.4838709677419355,-0.38709677419354804,71.33225806451611,9.0,-8.0,-0.5714285714285714,0.022222222222222223,-8.0,1454824.4,0.0,0.0,0.0,0.0,0.0,0.0,1527504.8,0.0,2280596.3,0.0,2264967.0,0.0,0.0,1421717.6,0.0,0.0,0.0,0.0,0.0,2486781.3,0.0,0.0,2211474.0,0.0,0.0,1548776.5,0.0,2111066.3
689.2667575,34.0,47.0,9.0,2.0,0,1.0,1.0,0,CHONSP,Lignin,690.27403396688,-0.0661315327801214,-1,C34H47O9N2SP,0.2647058823529412,1.3823529411764706,-0.7647058823529411,82.09411764705882,13.0,4.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613957.4,0.0,0.0,0.0,0.0,0.0,0.0,1511470.4,0.0,0.0,0.0
